seed,ae_roc_auc,ae_pr_auc,ae_f1_fpr,ae_val_mse,aae_roc_auc,aae_pr_auc,aae_f1_fpr,aae_val_mse,delta_roc_auc,delta_pr_auc,delta_f1_fpr
42,0.8347459424649062,0.8015141313443318,0.4852670349907919,0.33165123193219664,0.7929523726773471,0.7828472361567771,0.4366937410415671,0.37774620001578707,0.041793569787559104,0.01866689518755471,0.04857329394922477
7,0.794324256030478,0.7831688362226121,0.3576158940397351,0.36565493754369677,0.7964346803506521,0.7857589909445556,0.31995831162063576,0.4288342355311602,-0.0021104243201741646,-0.0025901547219434606,0.037657582419099334
13,0.8200141155694929,0.801097054996604,0.4664778092540132,0.31383041123212396,0.7889202678196692,0.7649218980750827,0.2804232804232804,0.3633227784754866,0.03109384774982371,0.03617515692152129,0.1860545288307328
99,0.7926503443184432,0.7593304108043305,0.37789837197829307,0.3225868274639179,0.7752601449889261,0.7644781108168214,0.41379310344827586,0.3452488168493494,0.01739019932951702,-0.0051477000124908745,-0.03589473146998279
2024,0.8331258917935359,0.8029344413257826,0.33692860811504877,0.3591060916647146,0.783510099357254,0.7636445701025227,0.1916434540389972,0.3903888659114003,0.04961579243628189,0.03928987122325989,0.14528515407605155
314,0.8230826594054342,0.7930955006444957,0.3447927199191102,0.3288076467402961,0.7568970179476537,0.7495529933505474,0.22210065645514224,0.3660266324009951,0.0661856414577805,0.043542507293948374,0.12269206346396797
