model,n_params,roc_auc,pr_auc,f1_at_fpr,f1_at_max_f1,threshold_fpr
AE,304177,0.8532867887015121,0.8206726858948116,0.5389061805246776,0.8283013113754193,0.5444806814193726
AAE,325042,0.8104188761311394,0.7819116838268653,0.34014300306435136,0.7946035242290749,0.6072483658790588
AAE+disc,325042,0.8104188761311394,0.7819116838268653,0.34014300306435136,0.7946035242290749,1.2099743607726705
